rank_title,total_score,google_absolute_volume,google_surge_ratio,naver_trend_sum,naver_growth_slope
엘에이 fc 대 인터 마이애미,50.0,200000.0,1000.0,0.0,0.0
인천유나이티드,47.62,200.0,500.0,358.07,8.98
mls,45.92,20000.0,1000.0,161.02,8.33
노시환,41.17,5000.0,1000.0,105.65,10.67
레알 에스파냐 대 엘에이 fc,32.48,100000.0,1000.0,0.0,0.0
토트넘 대 아스널,32.48,100000.0,1000.0,0.0,0.0
맨 시티 대 뉴캐슬,28.24,20000.0,1000.0,100.0,0.0
as 모나코 대 psg,23.73,50000.0,1000.0,0.11,0.0
psg 대 메스,23.72,50000.0,1000.0,0.0,0.0
울브스 대 아스널,23.72,50000.0,1000.0,0.0,0.0
